№;Точность;Обычно;Со множителем в 1.5;Обычно / множитель
0;0,1;1,3333333333333333;1,6666666666666667;0,7999999999999999
1;0,01;1,1363636363636365;1,3636363636363635;0,8333333333333335
2;0,001;1,036144578313253;1,5555555555555556;0,6660929432013769
3;0,0001;1,1174089068825912;1,316326530612245;0,8488842858487902
4;1e-05;1,0797101449275361;1,2251655629139073;0,8812769291030159
5;1,0000000000000002e-06;1,0603448275862069;1,1764705882352942;0,9012931034482758
6;1,0000000000000002e-07;1,049597855227882;1,1478599221789882;0,9143954196392057
7;1,0000000000000002e-08;1,0417124039517014;1,1258064516129032;0,9253032814470701
8;1,0000000000000003e-09;1,037174721189591;1,1101928374655647;0,9342293394338003
9;1,0000000000000003e-10;1,032232070910556;1,0985576923076923;0,9396248172840072
10;1,0000000000000003e-11;1,0291607396870555;1,0872340425531914;0,9465861989293857
11;1,0000000000000002e-12;1,026098026734564;1,0783938814531548;0,9515057942946401
12;1,0000000000000002e-13;1,024207492795389;1,0711805555555556;0,9561483239062303
13;1,0000000000000002e-14;1,021097046413502;1,054054054054054;0,9687330953153739
14;1e-15;1,0164015904572565;1,0495495495495495;0,9684169660150685
